feature_index,coefficient,abs_coefficient
22,12.131277863103984,12.131277863103984
2,-0.8446652341242122,0.8446652341242122
3,0.22803817428113468,0.22803817428113468
1,0.21938658390039906,0.21938658390039906
4,0.20457321205223936,0.20457321205223936
11,0.18013415068859792,0.18013415068859792
5,-0.12776365833365227,0.12776365833365227
17,0.09250138217833445,0.09250138217833445
14,-0.06890602180498862,0.06890602180498862
7,-0.057295940596764,0.057295940596764
0,-0.04501946001537648,0.04501946001537648
6,-0.008460482499478136,0.008460482499478136
9,0.006983593409256455,0.006983593409256455
16,0.006698534424528668,0.006698534424528668
12,-0.005396494213743467,0.005396494213743467
21,0.001928996445514237,0.001928996445514237
19,0.0016333314787597185,0.0016333314787597185
10,-0.0014139126098578368,0.0014139126098578368
8,-0.000519254686906805,0.000519254686906805
20,0.0003698151734969231,0.0003698151734969231
15,-0.00023340209094824398,0.00023340209094824398
13,-3.6156260976163786e-05,3.6156260976163786e-05
18,2.1743680864866634e-09,2.1743680864866634e-09
