feature_index,importance
6,0.48983419142422213
16,0.1868926400433445
14,0.10034104133892528
13,0.06357857728402344
22,0.036928982479534314
7,0.03359264744375288
21,0.029466610946787507
20,0.021911898732888496
15,0.015194790369341508
2,0.0056041431235983674
18,0.0031745137120713627
0,0.002972806260554848
19,0.0028896391299192098
1,0.002073507427673069
17,0.0015644663999875399
12,0.001335470529110829
5,0.0010934792004410206
9,0.0004559687021215292
10,0.00042644687155776577
11,0.0002734615285981023
4,0.0002261427669797125
3,0.00012537343003006778
8,4.320085453658393e-05
